"date","game_type","away_team","away_score","home_team","home_score","overtime","neutral_site","score_diff","outcome"
2023-10-27,"Non-Conference","Minnesota State",2,"North Dakota",6,FALSE,FALSE,4,1
2023-10-27,"Non-Conference","Mercyhurst",0,"Notre Dame",5,FALSE,FALSE,5,1
2023-10-27,"Non-Conference","Ohio State",2,"Omaha",2,TRUE,FALSE,0,0.5
2023-10-27,"CCHA","Ferris State",2,"Northern Michigan",1,TRUE,FALSE,-1,0
2023-10-27,"CCHA","St. Thomas",2,"Bemidji State",3,FALSE,FALSE,1,1
2023-10-27,"Big Ten","Wisconsin",3,"Minnesota",2,FALSE,FALSE,-1,0
2023-10-28,"Atlantic Hockey","Bentley",3,"Robert Morris",0,FALSE,FALSE,-3,0
2023-10-28,"Atlantic Hockey","Niagara",1,"Sacred Heart",4,FALSE,FALSE,3,1
2023-10-28,"Atlantic Hockey","RIT",3,"Holy Cross",2,FALSE,FALSE,-1,0
2023-10-28,"Hockey East","Mass.-Lowell",1,"Connecticut",0,FALSE,FALSE,-1,0
2023-10-28,"Hockey East","Vermont",2,"Providence",2,TRUE,FALSE,0,0.5
2023-10-28,"Hockey East","Boston University",3,"Massachusetts",3,TRUE,FALSE,0,0.5
2023-10-28,"Hockey East","Merrimack",4,"Northeastern",1,FALSE,FALSE,-3,0
2023-10-28,"Non-Conference","Augustana",4,"Colorado College",3,FALSE,FALSE,-1,0
2023-10-28,"Non-Conference","Air Force",0,"Denver",4,FALSE,FALSE,4,1
2023-10-28,"Non-Conference","Minnesota State",2,"North Dakota",2,TRUE,FALSE,0,0.5
2023-10-28,"Non-Conference","Minnesota-Duluth",0,"Cornell",3,FALSE,FALSE,3,1
2023-10-28,"Non-Conference","Dartmouth",1,"New Hampshire",3,FALSE,FALSE,2,1
2023-10-28,"Non-Conference","Maine",1,"Quinnipiac",4,FALSE,FALSE,3,1
2023-10-28,"Non-Conference","Lake Superior",5,"St. Lawrence",2,FALSE,FALSE,-3,0
2023-10-28,"Non-Conference","Lindenwood",1,"Michigan",10,FALSE,FALSE,9,1
2023-10-28,"Non-Conference","Arizona State",1,"Miami",1,TRUE,FALSE,0,0.5
2023-10-28,"Non-Conference","Michigan Tech",1,"Clarkson",3,FALSE,FALSE,2,1
2023-10-28,"Non-Conference","Ohio State",4,"Omaha",0,FALSE,FALSE,-4,0
2023-10-28,"CCHA","Ferris State",1,"Northern Michigan",4,FALSE,FALSE,3,1
2023-10-28,"CCHA","St. Thomas",0,"Bemidji State",2,FALSE,FALSE,2,1
2023-10-29,"Non-Conference","Stonehill",2,"Brown",7,FALSE,FALSE,5,1
2023-10-30,"Non-Conference","Long Island",4,"Stonehill",2,FALSE,FALSE,-2,0
2023-10-31,"Atlantic Hockey","Army",1,"Sacred Heart",6,FALSE,FALSE,5,1
2023-11-02,"Atlantic Hockey","Bentley",0,"American Int'l",3,FALSE,FALSE,3,1
2023-11-03,"ECAC","Quinnipiac",2,"Dartmouth",2,TRUE,FALSE,0,0.5
2023-11-03,"ECAC","Colgate",2,"Brown",3,FALSE,FALSE,1,1
2023-11-03,"ECAC","Princeton",4,"Harvard",4,TRUE,FALSE,0,0.5
2023-11-03,"ECAC","Rensselaer",8,"Union",6,FALSE,FALSE,-2,0
2023-11-03,"ECAC","Cornell",3,"Yale",1,FALSE,FALSE,-2,0
2023-11-03,"Atlantic Hockey","Holy Cross",3,"Canisius",5,FALSE,FALSE,2,1
2023-11-03,"Atlantic Hockey","Air Force",3,"Niagara",2,TRUE,FALSE,-1,0
2023-11-03,"Atlantic Hockey","RIT",4,"Army",2,FALSE,FALSE,-2,0
2023-11-03,"Atlantic Hockey","American Int'l",1,"Bentley",3,FALSE,FALSE,2,1
2023-11-03,"Hockey East","Maine",2,"Merrimack",1,FALSE,FALSE,-1,0
2023-11-03,"Hockey East","Providence",1,"New Hampshire",1,TRUE,FALSE,0,0.5
2023-11-03,"Hockey East","Connecticut",1,"Vermont",4,FALSE,FALSE,3,1
2023-11-03,"Hockey East","Mass.-Lowell",2,"Boston College",3,FALSE,FALSE,1,1
2023-11-03,"Hockey East","Northeastern",1,"Massachusetts",2,TRUE,FALSE,1,1
2023-11-03,"NCHC","Colorado College",1,"Denver",6,FALSE,FALSE,5,1
2023-11-03,"NCHC","Western Michigan",5,"Omaha",2,FALSE,FALSE,-3,0
2023-11-03,"NCHC","Miami",2,"St. Cloud State",3,FALSE,FALSE,1,1
2023-11-03,"Big Ten","Michigan State",6,"Ohio State",0,FALSE,FALSE,-6,0
2023-11-03,"Big Ten","Michigan",4,"Wisconsin",5,FALSE,FALSE,1,1
2023-11-03,"Non-Conference","North Dakota",2,"Boston University",3,FALSE,FALSE,1,1
2023-11-03,"Non-Conference","Minnesota-Duluth",1,"Minnesota",5,FALSE,FALSE,4,1
2023-11-03,"Non-Conference","Stonehill",4,"Arizona State",5,TRUE,FALSE,1,1
2023-11-03,"Non-Conference","Mercyhurst",4,"Bowling Green",3,TRUE,FALSE,-1,0
2023-11-03,"Non-Conference","St. Lawrence",5,"Ferris State",2,FALSE,FALSE,-3,0
2023-11-03,"Non-Conference","Augustana",4,"Michigan Tech",6,FALSE,FALSE,2,1
2023-11-03,"Non-Conference","Alaska-Anchorage",1,"Alaska",6,FALSE,FALSE,5,1
2023-11-03,"CCHA","Bemidji State",3,"Lake Superior",4,TRUE,FALSE,1,1
2023-11-03,"CCHA","Northern Michigan",2,"St. Thomas",4,FALSE,FALSE,2,1
2023-11-04,"Atlantic Hockey","RIT",5,"Army",3,FALSE,FALSE,-2,0
2023-11-04,"Atlantic Hockey","Holy Cross",3,"Canisius",3,TRUE,FALSE,0,0.5
2023-11-04,"Atlantic Hockey","Air Force",3,"Niagara",4,FALSE,FALSE,1,1
2023-11-04,"Big Ten","Michigan State",6,"Ohio State",4,FALSE,FALSE,-2,0
2023-11-04,"Big Ten","Michigan",1,"Wisconsin",2,FALSE,FALSE,1,1
2023-11-04,"Big Ten","Notre Dame",3,"Penn State",3,TRUE,FALSE,0,0.5
2023-11-04,"Hockey East","Connecticut",5,"Vermont",2,FALSE,FALSE,-3,0
2023-11-04,"Hockey East","Boston College",3,"Mass.-Lowell",2,FALSE,FALSE,-1,0
2023-11-04,"Hockey East","Maine",5,"Merrimack",4,FALSE,FALSE,-1,0
2023-11-04,"Hockey East","New Hampshire",0,"Providence",2,FALSE,FALSE,2,1
2023-11-04,"NCHC","Denver",5,"Colorado College",1,FALSE,FALSE,-4,0
2023-11-04,"NCHC","Miami",0,"St. Cloud State",6,FALSE,FALSE,6,1
2023-11-04,"NCHC","Western Michigan",2,"Omaha",3,TRUE,FALSE,1,1
2023-11-04,"CCHA","Bemidji State",1,"Lake Superior",5,FALSE,FALSE,4,1
2023-11-04,"CCHA","Northern Michigan",1,"St. Thomas",6,FALSE,FALSE,5,1
2023-11-04,"Non-Conference","St. Lawrence",1,"Ferris State",2,TRUE,FALSE,1,1
2023-11-04,"Non-Conference","Augustana",3,"Michigan Tech",4,TRUE,FALSE,1,1
2023-11-04,"Non-Conference","North Dakota",5,"Boston University",4,TRUE,FALSE,-1,0
2023-11-04,"Non-Conference","Minnesota",3,"Minnesota-Duluth",3,TRUE,FALSE,0,0.5
2023-11-04,"Non-Conference","Stonehill",2,"Arizona State",3,FALSE,FALSE,1,1
2023-11-04,"Non-Conference","Mercyhurst",2,"Bowling Green",4,FALSE,FALSE,2,1
2023-11-04,"Non-Conference","Alaska-Anchorage",4,"Alaska",5,FALSE,FALSE,1,1
2023-11-04,"ECAC","Cornell",7,"Brown",1,FALSE,FALSE,-6,0
2023-11-04,"ECAC","Princeton",4,"Dartmouth",5,FALSE,FALSE,1,1
2023-11-04,"ECAC","Quinnipiac",6,"Harvard",0,FALSE,FALSE,-6,0
2023-11-04,"ECAC","Union",5,"Rensselaer",1,FALSE,FALSE,-4,0
2023-11-04,"ECAC","Colgate",7,"Yale",1,FALSE,FALSE,-6,0
2023-11-05,"Big Ten","Notre Dame",2,"Penn State",2,TRUE,FALSE,0,0.5
2023-11-05,"Non-Conference","Sacred Heart",1,"Long Island",2,FALSE,FALSE,1,1
